Names;PartyNm;Provinces
Vanda Sarundajang;Partai Demokrasi Indonesia Perjuangan;Sulawesi Utara
Elnino M Husein Mohi;Partai Gerakan Indonesia Raya;Gorontalo
Fadel Muhammad;Partai Golongan Karya;Gorontalo
Roem Kono;Partai Golongan Karya;Gorontalo
Verna Gladies Merry Inkiriwang;Partai Demokrat;Sulawesi Tengah
Tetty Pinangkaan;Partai Hati Nurani Rakyat;Sulawesi Tengah
Ahmad Ali;Partai NasDem;Sulawesi Tengah
Supratman Andi Agtas;Partai Gerakan Indonesia Raya;Sulawesi Tengah
Muhidin Muhammad Said;Partai Golongan Karya;Sulawesi Tengah
Aliyah Mustika Ilham;Partai Demokrat;Sulawesi Selatan 1
Mukhtar Tompo;Partai Hati Nurani Rakyat;Sulawesi Selatan 1
Tamsil Linrung;Partai Keadilan Sejahtera;Sulawesi Selatan 1
Amir Uskara;Partai Persatuan Pembangunan;Sulawesi Selatan 1
M. Irwan Zulfikar;Partai Amanat Nasional;Sulawesi Selatan 1
Azikin Solthan;Partai Gerakan Indonesia Raya;Sulawesi Selatan 1
Hamka B Kady;Partai Golongan Karya;Sulawesi Selatan 1
Andi Ridwan Wittiri;Partai Demokrasi Indonesia Perjuangan;Sulawesi Selatan 1
Muhammad Nasyit Umar;Partai Demokrat;Sulawesi Selatan 2
Andi Akmal Pasluddin;Partai Keadilan Sejahtera;Sulawesi Selatan 2
Akbar Faizal;Partai NasDem;Sulawesi Selatan 2
Andi Mariatang;Partai Persatuan Pembangunan;Sulawesi Selatan 2
Andi Yuliani Paris;Partai Amanat Nasional;Sulawesi Selatan 2
Andi Iwan Darmawan Aras;Partai Gerakan Indonesia Raya;Sulawesi Selatan 2
Syamsul Bachri;Partai Golongan Karya;Sulawesi Selatan 2
Andi Rio Idris Padjalangi;Partai Golongan Karya;Sulawesi Selatan 2
Samsu Niang;Partai Demokrasi Indonesia Perjuangan;Sulawesi Selatan 2
Bahrum Daido;Partai Demokrat;Sulawesi Selatan 3
Abubakar Wasahua;Partai Persatuan Pembangunan;Sulawesi Selatan 3
Amran;Partai Amanat Nasional;Sulawesi Selatan 3
Felicitas Tallulembang;Partai Gerakan Indonesia Raya;Sulawesi Selatan 3
Markus Nari;Partai Golongan Karya;Sulawesi Selatan 3
Andi Fauziah Pujiwatie Hatta;Partai Golongan Karya;Sulawesi Selatan 3
Luthfi A. Mutty;Partai NasDem;Sulawesi Selatan 3
Umar Arsal;Partai Demokrat;Sulawesi Tenggara
Amirul Tamim;Partai Persatuan Pembangunan;Sulawesi Tenggara
Haerul Saleh;Partai Gerakan Indonesia Raya;Sulawesi Tenggara
Ridwan Bae;Partai Golongan Karya;Sulawesi Tenggara
Tina Asnawati Nur Alam;Partai Amanat Nasional;Sulawesi Tenggara
Muhammad Afzal Mahfuz;Partai Demokrat;Sulawesi Barat
Ruskati Ali Baal;Partai Gerakan Indonesia Raya;Sulawesi Barat
Ibnu Munzir;Partai Golongan Karya;Sulawesi Barat
Rohani;Partai Kebangkitan Bangsa;Maluku
Taslim Azis;Partai Gerakan Indonesia Raya;Maluku
Edison Betaubun;Partai Golongan Karya;Maluku
Mercy Chriesty Barends;Partai Demokrasi Indonesia Perjuangan;Maluku
Achmad Hatari;Partai NasDem;Maluku Utara
Saiful Bahri Ruray;Partai Golongan Karya;Maluku Utara
Irine Yusiana Roba Putri;Partai Demokrasi Indonesia Perjuangan;Maluku Utara
Willan Wandik;Partai Demokrat;Papua
Libert Kristo Ibo;Partai Demokrat;Papua
Peggi Patrisia Pattipi;Partai Kebangkitan Bangsa;Papua
Sulaiman L Hamzah;Partai NasDem;Papua
John Siffy Mirin;Partai Amanat Nasional;Papua
Steven Abraham;Partai Gerakan Indonesia Raya;Papua
Elion Numberi;Partai Golongan Karya;Papua
Komarudin Watubun;Partai Demokrasi Indonesia Perjuangan;Papua
Tony Wardoyo;Partai Demokrasi Indonesia Perjuangan;Papua
Muhammad Yudi Kotouky;Partai Keadilan Sejahtera;Papua
Michael Watimena;Partai Demokrat;Papua Barat
Robert Joppy Kardinal;Partai Golongan Karya;Papua Barat
Jimmy Demianus Ijie;Partai Demokrasi Indonesia Perjuangan;Papua Barat
