Names,PartyNm,Electorate,Provinces
Indah Kurnia,Partai Demokrasi Indonesia Perjuangan,Jawa Timur I,Jawa Timur
Henky Kurniadi,Partai Demokrasi Indonesia Perjuangan,Jawa Timur I,Jawa Timur
Hamka Haq,Partai Demokrasi Indonesia Perjuangan,Jawa Timur II,Jawa Timur
Nursuhud,Partai Demokrasi Indonesia Perjuangan,Jawa Timur III,Jawa Timur
Arif Wibowo,Partai Demokrasi Indonesia Perjuangan,Jawa Timur IV,Jawa Timur
Ahmad Basarah,Partai Demokrasi Indonesia Perjuangan,Jawa Timur V,Jawa Timur
Andreas Eddy Susetyo,Partai Demokrasi Indonesia Perjuangan,Jawa Timur V,Jawa Timur
Pramono Anung Wibowo,Partai Demokrasi Indonesia Perjuangan,Jawa Timur VI,Jawa Timur
Djarot Saiful Hidajat,Partai Demokrasi Indonesia Perjuangan,Jawa Timur VI,Jawa Timur
Budi Yuwono,Partai Demokrasi Indonesia Perjuangan,Jawa Timur VI,Jawa Timur
Sirmadji,Partai Demokrasi Indonesia Perjuangan,Jawa Timur VII,Jawa Timur
Sadarestuwati,Partai Demokrasi Indonesia Perjuangan,Jawa Timur VIII,Jawa Timur
Mindo Sianipar,Partai Demokrasi Indonesia Perjuangan,Jawa Timur VIII,Jawa Timur
Abidin Fikri,Partai Demokrasi Indonesia Perjuangan,Jawa Timur IX,Jawa Timur
Nasyirul Falah Amru,Partai Demokrasi Indonesia Perjuangan,Jawa Timur X,Jawa Timur
Said Abdullah,Partai Demokrasi Indonesia Perjuangan,Jawa Timur II,Jawa Timur
Mochamad Hasbi Asyidiki Jayabaya,Partai Demokrasi Indonesia Perjuangan,Banten I,Banten
Ichsan Soelistio,Partai Demokrasi Indonesia Perjuangan,Banten II,Banten
Herdian Koosnadi,Partai Demokrasi Indonesia Perjuangan,Banten III,Banten
Marinus Gea,Partai Demokrasi Indonesia Perjuangan,Banten III,Banten
Wayan Koster,Partai Demokrasi Indonesia Perjuangan,Bali,Bali
I Made Urip,Partai Demokrasi Indonesia Perjuangan,Bali,Bali
I Gusti Agung Rai Wirajaya,Partai Demokrasi Indonesia Perjuangan,Bali,Bali
Nyoman Dhamantra,Partai Demokrasi Indonesia Perjuangan,Bali,Bali
Rachmat Hidayat,Partai Demokrasi Indonesia Perjuangan,Nusa Tenggara Barat,Nusa Tenggara Barat
Honing Sanny,Partai Demokrasi Indonesia Perjuangan,Nusa Tenggara Timur I,Nusa Tenggara Timur
Herman Hery,Partai Demokrasi Indonesia Perjuangan,Nusa Tenggara Timur II,Nusa Tenggara Timur
Karolin Margret Natasa,Partai Demokrasi Indonesia Perjuangan,Kalimantan Barat,Kalimantan Barat
Lasarus,Partai Demokrasi Indonesia Perjuangan,Kalimantan Barat,Kalimantan Barat
G Michael Jeno,Partai Demokrasi Indonesia Perjuangan,Kalimantan Barat,Kalimantan Barat
Willy M Yoseph,Partai Demokrasi Indonesia Perjuangan,Kalimantan Tengah,Kalimantan Tengah
Asdy Narang,Partai Demokrasi Indonesia Perjuangan,Kalimantan Tengah,Kalimantan Tengah
Adriansya,Partai Demokrasi Indonesia Perjuangan,Kalimantan Selatan II,Kalimantan Selatan
Marten Apuy,Partai Demokrasi Indonesia Perjuangan,Kalimantan Timur,Kalimantan Timur
Olly Dondokambey,Partai Demokrasi Indonesia Perjuangan,Sulawesi Utara,Sulawesi Utara
Vanda Sarundajang,Partai Demokrasi Indonesia Perjuangan,Sulawesi Utara,Sulawesi Utara
Rendy M Affandy Lamadjido,Partai Demokrasi Indonesia Perjuangan,Sulawesi Utara,Sulawesi Utara
Andi Ridwan Wittiri,Partai Demokrasi Indonesia Perjuangan,Sulawesi Selatan I,Sulawesi Selatan
Samsu Niang,Partai Demokrasi Indonesia Perjuangan,Sulawesi Selatan II,Sulawesi Selatan
Mercy Chriesty Barends,Partai Demokrasi Indonesia Perjuangan,Maluku,Maluku
Irine Yusiana Roba Putri,Partai Demokrasi Indonesia Perjuangan,Maluku Utara,Maluku Utara
Komarudin Watubun,Partai Demokrasi Indonesia Perjuangan,Papua,Papua
Tony Wardoyo,Partai Demokrasi Indonesia Perjuangan,Papua,Papua
Jimmy Demianus Ijie,Partai Demokrasi Indonesia Perjuangan,Papua Barat,Papua Barat
Salim Fakhry,Partai Golongan Karya,Aceh I,Aceh
Firmandez,Partai Golongan Karya,Aceh II,Aceh
Meutya Hafid,Partai Golongan Karya,Sumatera Utara I,Sumatera Utara
Rambe Kamarul Zaman,Partai Golongan Karya,Sumatera Utara II,Sumatera Utara
Delia Pratiwi BR Sitepu,Partai Golongan Karya,Sumatera Utara III,Sumatera Utara
Anthon Sihombing,Partai Golongan Karya,Sumatera Utara III,Sumatera Utara
Betti Shadiq Pasadigoe,Partai Golongan Karya,Sumatera Barat I,Sumatera Barat
John Kenedy Azis,Partai Golongan Karya,Sumatera Barat II,Sumatera Barat
Tabrani Maamun,Partai Golongan Karya,Riau I,Riau
HM Idris Laena,Partai Golongan Karya,Riau II,Riau
Saniatul Lativa,Partai Golongan Karya,Jambi,Jambi
Dodi Reza Alex Noerdin,Partai Golongan Karya,Sumatera Selatan I,Sumatera Selatan
Kahar Muzakir,Partai Golongan Karya,Sumatera Selatan I,Sumatera Selatan
Bobby Adhityo Rizaldi,Partai Golongan Karya,Sumatera Selatan II,Sumatera Selatan
Dwie Aroem Hadiyatie,Partai Golongan Karya,Lampung I,Lampung
Aziz Syamsuddi,Partai Golongan Karya,Lampung II,Lampung
Azhar Romli,Partai Golongan Karya,Bangka Belitung,Kep. Bangka Belitung
Bambang Wiyogo,Partai Golongan Karya,Jakarta I,Dki Jakarta
Fayakhun Andriadi,Partai Golongan Karya,Jakarta II,Dki Jakarta
Tantowi Yahya,Partai Golongan Karya,Jakarta III,Dki Jakarta
Popong Otje Djunjunan,Partai Golongan Karya,Jawa Barat I,Jawa Barat
Agus Gumiwang Kartasasmita,Partai Golongan Karya,Jawa Barat II,Jawa Barat
Lili Asdjudiredja,Partai Golongan Karya,Jawa Barat II,Jawa Barat
Deding Ishaq,Partai Golongan Karya,Jawa Barat III,Jawa Barat
Eka Sastra,Partai Golongan Karya,Jawa Barat III,Jawa Barat
Dewi Asmara,Partai Golongan Karya,Jawa Barat IV,Jawa Barat
Airlangga Hartarto,Partai Golongan Karya,Jawa Barat V,Jawa Barat
Ichsan Firdaus,Partai Golongan Karya,Jawa Barat V,Jawa Barat
Wenny Haryanto,Partai Golongan Karya,Jawa Barat VI,Jawa Barat
Ade Komarudin,Partai Golongan Karya,Jawa Barat VII,Jawa Barat
Dadang S Muchtar,Partai Golongan Karya,Jawa Barat VII,Jawa Barat
Dave Akbarshah Fikarno,Partai Golongan Karya,Jawa Barat VIII,Jawa Barat
Daniel Mutaqien Syafiuddin,Partai Golongan Karya,Jawa Barat VIII,Jawa Barat
Eldie Suwandie,Partai Golongan Karya,Jawa Barat IX,Jawa Barat
Agun Gunanjar Sudarsa,Partai Golongan Karya,Jawa Barat X,Jawa Barat
Ferdiansyah,Partai Golongan Karya,Jawa Barat XI,Jawa Barat
Ahmad Zacky Siradj,Partai Golongan Karya,Jawa Barat XI,Jawa Barat
Mujib Rohmat,Partai Golongan Karya,Jawa Tengah I,Jawa Tengah
Nusron Wahid,Partai Golongan Karya,Jawa Tengah II,Jawa Tengah
Bowo Sidik Pangarso,Partai Golongan Karya,Jawa Tengah II,Jawa Tengah
Firman Subagyo,Partai Golongan Karya,Jawa Tengah III,Jawa Tengah
Endang Maria Astuti,Partai Golongan Karya,Jawa Tengah IV,Jawa Tengah
Endang Srikarti Handayani,Partai Golongan Karya,Jawa Tengah V,Jawa Tengah
Iqbal Wibisono,Partai Golongan Karya,Jawa Tengah VI,Jawa Tengah
Bambang Soesatyo,Partai Golongan Karya,Jawa Tengah VII,Jawa Tengah
Dito Ganindito,Partai Golongan Karya,Jawa Tengah VIII,Jawa Tengah
Agung Widyantoro,Partai Golongan Karya,Jawa Tengah IX,Jawa Tengah
