Provinces;PartyNm;Totseats;;;;;;;;;;;;;;
Maluku Utara;Partai Amanat Nasional;1;;;;;;;;;;;;;;
Maluku Utara;Partai Persatuan Pembangunan;0;;;;;;;;;;;;;;
Maluku Utara;Partai Hati Nurani Rakyat;0;;;;;;;;;;;;;;
Maluku Utara;Partai Bulan Bintang;0;;;;;;;;;;;;;;
Maluku Utara;Partai keadilan dan persatuan Indonesia;0;;;;;;;;;;;;;;
Papua;Partai Nasdem;1;;;;;;;;;;;;;;
Papua;Partai Kebangkitan Bangsa;1;;;;;;;;;;;;;;
Papua;Partai Keadilan Sejahtera;1;;;;;;;;;;;;;;
Papua;Partai Demokrasi Indonesia Perjuangan;2;;;;;;;;;;;;;;
Papua;Partai Golongan Karya;1;;;;;;;;;;;;;;
Papua;Partai Gerakan Indonesia Raya;1;;;;;;;;;;;;;;
Papua;Partai Demokrat;2;;;;;;;;;;;;;;
Papua;Partai Amanat Nasional;1;;;;;;;;;;;;;;
Papua;Partai Persatuan Pembangunan;0;;;;;;;;;;;;;;
Papua;Partai Hati Nurani Rakyat;0;;;;;;;;;;;;;;
Papua;Partai Bulan Bintang;0;;;;;;;;;;;;;;
Papua;Partai keadilan dan persatuan Indonesia;0;;;;;;;;;;;;;;
Papua Barat;Partai Nasdem;0;;;;;;;;;;;;;;
Papua Barat;Partai Kebangkitan Bangsa;0;;;;;;;;;;;;;;
Papua Barat;Partai Keadilan Sejahtera;1;;;;;;;;;;;;;;
Papua Barat;Partai Demokrasi Indonesia Perjuangan;1;;;;;;;;;;;;;;
Papua Barat;Partai Golongan Karya;0;;;;;;;;;;;;;;
Papua Barat;Partai Gerakan Indonesia Raya;1;;;;;;;;;;;;;;
Papua Barat;Partai Demokrat;0;;;;;;;;;;;;;;
Papua Barat;Partai Amanat Nasional;0;;;;;;;;;;;;;;
Papua Barat;Partai Persatuan Pembangunan;0;;;;;;;;;;;;;;
Papua Barat;Partai Hati Nurani Rakyat;0;;;;;;;;;;;;;;
Papua Barat;Partai Bulan Bintang;0;;;;;;;;;;;;;;
Papua Barat;Partai keadilan dan persatuan Indonesia;0;;;;;;;;;;;;;;
