Name,PartyNm,Electorate,Provinces,Votes
Amrullah Amri Tuasikal,Partai Gerakan Indonesia Raya,Maluku,Maluku,"95,690"
Roberth Rouw,Partai Gerakan Indonesia Raya,Papua,Papua,"128,598"
Teuku Riefky Harsya,Partai Demokrat,Aceh I,Aceh,"65,851"
Muslim,Partai Demokrat,Aceh II,Aceh,"41,219"
Ruhut Poltak Sitompul,Partai Demokrat,Sumatera Utara I,Sumatera Utara,"34,685"
Rooslynda Marpaung,Partai Demokrat,Sumatera Utara II,Sumatera Utara,"54,940"
Rudi Hartono Bangun,Partai Demokrat,Sumatera Utara III,Sumatera Utara,"49,023"
Darizal Basir,Partai Demokrat,Sumatera Barat I,Sumatera Barat,"34,695"
Mulyadi,Partai Demokrat,Sumatera Barat II,Sumatera Barat,"84,563"
Sutan Sukarnotomo,Partai Demokrat,Riau I,RIAU,"31,286"
Muhammad Nasir,Partai Demokrat,Riau II,RIAU,"48,906"
Zulfikar Achmad,Partai Demokrat,Jambi,Jambi,"53,556"
Wahyu Sanjaya,Partai Demokrat,Sumatera Selatan II,Sumatera Selatan,"46,164"
Syofwatillah Mohzaib,Partai Demokrat,Sumatera Selatan I,Sumatera Selatan,"50,138"
Zulkifli Anwar,Partai Demokrat,Lampung I,Lampung,"40,922"
Marwan Cik Asan,Partai Demokrat,Lampung II,Lampung,"46,940"
Eko Wijaya,Partai Demokrat,Bangka Belitung,Bangka Belitung,"35,570"
Dwi Astuti Wulandari,Partai Demokrat,Jakarta I,DKI Jakarta,"20,434"
Melani Leimena Suharli,Partai Demokrat,Jakarta II,DKI Jakarta,"19,844"
Agung Budi Santoso,Partai Demokrat,Jawa Barat I,Jawa Barat,"18,487"
Dede Yusuf Macan Effendi,Partai Demokrat,Jawa Barat II,Jawa Barat,"142,939"
Sjarifuddin Hasan,Partai Demokrat,Jawa Barat III,Jawa Barat,"31,486"
Anton Sukartono Suratto,Partai Demokrat,Jawa Barat V,Jawa Barat,"23,554"
Saan Mustopa,Partai Demokrat,Jawa Barat VII,Jawa Barat,"47,837"
Erman Khaeron,Partai Demokrat,Jawa Barat VIII,Jawa Barat,"41,394"
Linda Megawati,Partai Demokrat,Jawa Barat IX,Jawa Barat,"26,249"
Amin Santono,Partai Demokrat,Jawa Barat X,Jawa Barat,"23,948"
Siti Mufattahah,Partai Demokrat,Jawa Barat XI,Jawa Barat,"31,151"
Agus Hermanto ,Partai Demokrat,Jawa Tengah I,Jawa Tengah,"32,047"
Djoko Udjianto,Partai Demokrat,Jawa Tengah III,Jawa Tengah,"73,906"
Rinto Subekti,Partai Demokrat,Jawa Tengah IV,Jawa Tengah,"58,155"
Khatibul Umam Wiranu,Partai Demokrat,Jawa Tengah VIII,Jawa Tengah,"28,778"
Ambar Tjahyono,Partai Demokrat,DI Yogyakarta,DI Yogyakarta,"38,152"
Fandi Utomo,Partai Demokrat,Jawa Timur I,Jawa Timur,"26,335"
Evi Zainal Abidin,Partai Demokrat,Jawa Timur II,Jawa Timur,"43,122"
Azam Asman Natawijana,Partai Demokrat,Jawa Timur III,Jawa Timur,"21,060"
Ayub Khan,Partai Demokrat,Jawa Timur IV,Jawa Timur,"15,975"
Nurhayati Ali Assegaf,Partai Demokrat,Jawa Timur V,Jawa Timur,"18,162"
Venna Melinda,Partai Demokrat,Jawa Timur VI,Jawa Timur,"49,383"
Edhie Baskoro Yudhoyono,Partai Demokrat,Jawa Timur VII,Jawa Timur,"243,747"
Sartono,Partai Demokrat,Jawa Timur VII,Jawa Timur,"31,345"
Guntur Sasono,Partai Demokrat,Jawa Timur VIII,Jawa Timur,"46,089"
Didik Mukrianto,Partai Demokrat,Jawa Timur IX,Jawa Timur,"51,218"
Mat Nasir,Partai Demokrat,Jawa Timur XI,Jawa Timur,"109,367"
Vivi Sumantri Jayabaya,Partai Demokrat,Banten I,Banten,"31,458"
Wahidin Halim,Partai Demokrat,Banten III,Banten,"127,392"
Jero Wacik,Partai Demokrat,Bali,Bali,"104,682"
I Putu Sudiartana,Partai Demokrat,Bali,Bali,"73,348"
Syamsul Luthfi,Partai Demokrat,NTB,NTB,"83,638"
Benny Kabur Harman,Partai Demokrat,NTT I,NTT,"53,701"
Jefirston R Riwu Kore,Partai Demokrat,NTT II,NTT,"105,924"
Erma Suryani Ranik,Partai Demokrat,Kalimantan Barat,Kalimantan Barat,"34,420"
Noorbaiti Isran Noor,Partai Demokrat,Kalimantan Timur,Kalimantan Timur,"53,283"
Evert Erenst Mangindaan,Partai Demokrat,Sulawesi Utara,Sulawesi Utara,"81,152"
Verna Gladies Merry Inkiriwang,Partai Demokrat,Sulawesi Tengah,Sulawesi Tengah,"74,983"
Aliyah Mustika Ilham,Partai Demokrat,Sulawesi Selatan I,Sulawesi Selatan,"84,480"
Muhammad Nasyit Umar,Partai Demokrat,Sulawesi Selatan II,Sulawesi Selatan,"36,351"
Bahrum Daido,Partai Demokrat,Sulawesi Selatan III,Sulawesi Selatan,"31,747"
Umar Arsal,Partai Demokrat,Sulawesi Tenggara,Sulawesi Tenggara,"52,650"
Salim Mengga,Partai Demokrat,Sulawesi Barat,Sulawesi Barat,"51,168"
Willem Wandik,Partai Demokrat,Papua,Papua,"178,682"
Libert Kristo Ibo,Partai Demokrat,Papua,Papua,"166,734"
Michael Watimena,Partai Demokrat,Papua Barat,Papua Barat,"83,744"
Muslim Ayub,Partai Amanat Nasional,Aceh I,Aceh,"47,035"
Mulfachri Harahap,Partai Amanat Nasional,Sumatera Utara I,Sumatera Utara,"47,280"
Saleh Partaonan Daulay ,Partai Amanat Nasional,Sumatera Utara II,Sumatera Utara,"64,869"
Nasril Bahar ,Partai Amanat Nasional,Sumatera Utara III,Sumatera Utara,"86,885"
MHD Asli Chaidir ,Partai Amanat Nasional,Sumatera Barat I,Sumatera Barat,"33,917"
Jon Erizal ,Partai Amanat Nasional,Riau I,RIAU,"91,076"
A Bakri ,Partai Amanat Nasional,Jambi,Jambi,"79,605"
A Hafisz Tohir,Partai Amanat Nasional,Sumatera Selatan I,Sumatera Selatan,"74,176"
Hanna Gayatri ,Partai Amanat Nasional,Sumatera Selatan II,Sumatera Selatan,"80,871"
Dewi Coryati ,Partai Amanat Nasional,Bengkulu,Bengkulu,"42,490"
Zulkifli Hasan ,Partai Amanat Nasional,Lampung I,Lampung,"174,144"
Alimin Abdullah ,Partai Amanat Nasional,Lampung II,Lampung,"38,084"
Asman Abnur,Partai Amanat Nasional,Kepulauan Riau,Kepulauan Riau,"97,327"
Ahmad Najib Qodratullah ,Partai Amanat Nasional,Jawa Barat II,Jawa Barat,"23,358"
Desy Ratnasari ,Partai Amanat Nasional,Jawa Barat IV,Jawa Barat,"56,397"
Primus Yustisio,Partai Amanat Nasional,Jawa Barat V,Jawa Barat,"45,485"
Lucky Hakim ,Partai Amanat Nasional,Jawa Barat VI,Jawa Barat,"57,891"
Daeng Muhammad ,Partai Amanat Nasional,Jawa Barat VII,Jawa Barat,"54,576"
Budi Youyastri ,Partai Amanat Nasional,Jawa Barat X,Jawa Barat,"70,311"
Haerudin ,Partai Amanat Nasional,Jawa Barat XI,Jawa Barat,"44,178"
Yayuk Basuki ,Partai Amanat Nasional,Jawa Tengah I,Jawa Tengah,"25,615"
Laila Istiana ,Partai Amanat Nasional,Jawa Tengah IV,Jawa Tengah,"43,711"
Mohammad Hatta ,Partai Amanat Nasional,Jawa Tengah V,Jawa Tengah,"55,343"
Tjatur Sapto Edy ,Partai Amanat Nasional,Jawa Tengah VI,Jawa Tengah,"82,723"
Taufik Kurniawan ,Partai Amanat Nasional,Jawa Tengah VII,Jawa Tengah,"59,945"
Ammy Amalia Fatma Surya ,Partai Amanat Nasional,Jawa Tengah VIII,Jawa Tengah,"28,152"
Teguh Juwarno ,Partai Amanat Nasional,Jawa Tengah IX,Jawa Tengah,"54,963"
Andriyanto Johan Syah ,Partai Amanat Nasional,Jawa Tengah X,Jawa Tengah,"32,355"
A Hanafi Rais ,Partai Amanat Nasional,DI Yogyakarta,DI Yogyakarta,"197,915"
Sungkono ,Partai Amanat Nasional,Jawa Timur I,Jawa Timur,"56,922"
Anang Hermansyah ,Partai Amanat Nasional,Jawa Timur IV,Jawa Timur,"53,559"
Totok Daryanto ,Partai Amanat Nasional,Jawa Timur V,Jawa Timur,"36,632"
A Riski Sadig,Partai Amanat Nasional,Jawa Timur VI,Jawa Timur,"86,898"
Eko Hendro Purnomo ,Partai Amanat Nasional,Jawa Timur VIII,Jawa Timur,"69,301"
Kuswiyanto ,Partai Amanat Nasional,Jawa Timur IX,Jawa Timur,"45,456"
Viva Yoga Mauladi ,Partai Amanat Nasional,Jawa Timur X,Jawa Timur,"59,361"
Yandri Susanto ,Partai Amanat Nasional,Banten II,Banten,"77,964"
M Ali Taher ,Partai Amanat Nasional,Banten III,Banten,"62,279"
Muhammad Syafrudin ,Partai Amanat Nasional,NTB,NTB,"62,292"
Laurens Bahang Dama ,Partai Amanat Nasional,NTT I,NTT,"79,603"
Sukiman ,Partai Amanat Nasional,Kalimantan Barat,Kalimantan Barat,"83,037"
Hang Ali Saputra Syah Pahan ,Partai Amanat Nasional,Kalimantan Tengah,Kalimantan Tengah,"22,561"
Yasti Soepredjo Mokoagow ,Partai Amanat Nasional,Sulawesi Utara,Sulawesi Utara,"103,801"
Indira Chunda Thita Syahrul,Partai Amanat Nasional,Sulawesi Selatan I,Sulawesi Selatan,"104,293"
Andi Taufan Tiro ,Partai Amanat Nasional,Sulawesi Selatan II,Sulawesi Selatan,"54,585"
Amran,Partai Amanat Nasional,Sulawesi Selatan III,Sulawesi Selatan,"38,501"
Asnawati Hasan ,Partai Amanat Nasional,Sulawesi Tenggara,Sulawesi Tenggara,"131,520"
Mohammad Yamin Tawary,Partai Amanat Nasional,Maluku Utara,Maluku Utara,"28,171"
Jamaluddin Jafar ,Partai Amanat Nasional,Papua,Papua,"91,179"
Irmawan,Partai Kebangkitan Bangsa,Aceh I,Aceh,"40,191"
Marwan Dasopang ,Partai Kebangkitan Bangsa,Sumatera Utara II,Sumatera Utara,"59,657"
Muhammad Lukman Edi ,Partai Kebangkitan Bangsa,Riau II,RIAU,"60,420"
Handayani ,Partai Kebangkitan Bangsa,Jambi,Jambi,"47,479"
Bertu Merlas ,Partai Kebangkitan Bangsa,Sumatera Selatan II,Sumatera Selatan,"76,965"
Musa Zainudin ,Partai Kebangkitan Bangsa,Lampung I,Lampung,"43,784"
Chusnunia Chalim ,Partai Kebangkitan Bangsa,Lampung II,Lampung,"56,752"
Cucun Ahmad Saymsurijal ,Partai Kebangkitan Bangsa,Jawa Barat II,Jawa Barat,"37,763"
Neng Eem Marhamah Zulfa Hiz ,Partai Kebangkitan Bangsa,Jawa Barat III,Jawa Barat,"12,149"
Krisna Mukti ,Partai Kebangkitan Bangsa,Jawa Barat VII,Jawa Barat,"31,987"
Dedi Wahidi ,Partai Kebangkitan Bangsa,Jawa Barat VIII,Jawa Barat,"67,722"
Maman Imanul Haq,Partai Kebangkitan Bangsa,Jawa Barat IX,Jawa Barat,"39,080"
Yanuar Prihatin,Partai Kebangkitan Bangsa,Jawa Barat X,Jawa Barat,"17,823"
Acep Adang Ruhiat ,Partai Kebangkitan Bangsa,Jawa Barat XI,Jawa Barat,"71,697"
Alamudin Dimyati Rois ,Partai Kebangkitan Bangsa,Jawa Tengah I,Jawa Tengah,"82,221"
Fathan ,Partai Kebangkitan Bangsa,Jawa Tengah II,Jawa Tengah,"93,097"
Marwan Ja'far ,Partai Kebangkitan Bangsa,Jawa Tengah III,Jawa Tengah,"123,447"
Muhammad Toha ,Partai Kebangkitan Bangsa,Jawa Tengah V,Jawa Tengah,"71,688"
Abdul Kadir Karding ,Partai Kebangkitan Bangsa,Jawa Tengah VI,Jawa Tengah,"128,037"
Taufiq R Abdullah,Partai Kebangkitan Bangsa,Jawa Tengah VII,Jawa Tengah,"44,690"
Siti Mukarromah ,Partai Kebangkitan Bangsa,Jawa Tengah VIII,Jawa Tengah,"36,312"
Bachrudin Nasori ,Partai Kebangkitan Bangsa,Jawa Tengah IX,Jawa Tengah,"81,606"
Muh. Hanif Dhakiri ,Partai Kebangkitan Bangsa,Jawa Tengah X,Jawa Tengah,"95,625"
Bisri Romly ,Partai Kebangkitan Bangsa,Jawa Tengah X,Jawa Tengah,"64,496"
Agus Sulistiono,Partai Kebangkitan Bangsa,DI Yogyakarta,DI Yogyakarta,"51,045"
Imam Nahrawi ,Partai Kebangkitan Bangsa,Jawa Timur I,Jawa Timur,"80,283"
Syaikhul Islam ,Partai Kebangkitan Bangsa,Jawa Timur I,Jawa Timur,"91,211"
Abdul Malik Haramain ,Partai Kebangkitan Bangsa,Jawa Timur II,Jawa Timur,"76,642"
Nihayatul Wafiroh ,Partai Kebangkitan Bangsa,Jawa Timur III,Jawa Timur,"90,197"
M Nasim Khan ,Partai Kebangkitan Bangsa,Jawa Timur III,Jawa Timur,"78,222"
Syaiful Bahri Anshori ,Partai Kebangkitan Bangsa,Jawa Timur IV,Jawa Timur,"47,918"
Hadi Zainal Abidin,Partai Kebangkitan Bangsa,Jawa Timur IV,Jawa Timur,"46,685"
Latifah Sohib ,Partai Kebangkitan Bangsa,Jawa Timur V,Jawa Timur,"53,121"
An'im F mahrus ,Partai Kebangkitan Bangsa,Jawa Timur VI,Jawa Timur,"71,421"
Ibnu Multazam ,Partai Kebangkitan Bangsa,Jawa Timur VII,Jawa Timur,"75,312"
Abd Muhaimin Iskandar ,Partai Kebangkitan Bangsa,Jawa Timur VIII,Jawa Timur,"116,694"
Ida Fauziyah ,Partai Kebangkitan Bangsa,Jawa Timur VIII,Jawa Timur,"37,251"
Anna Mu'awanah ,Partai Kebangkitan Bangsa,Jawa Timur IX,Jawa Timur,"95,621"
Jazilul Fawaid ,Partai Kebangkitan Bangsa,Jawa Timur X,Jawa Timur,"94,147"
Kholilurrahman,Partai Kebangkitan Bangsa,Jawa Timur XI,Jawa Timur,"146,054"
Siti Masrifah ,Partai Kebangkitan Bangsa,Banten III,Banten,"32,308"
Helmy Faishal Zaini ,Partai Kebangkitan Bangsa,NTB,NTB,"69,542"
Daniel Johan ,Partai Kebangkitan Bangsa,Kalimantan Barat,Kalimantan Barat,"28,608"
Zainul Arifin Noor ,Partai Kebangkitan Bangsa,Kalimantan Selatan I,Kalimantan Selatan,"31,975"
Zairullah Azhar ,Partai Kebangkitan Bangsa,Kalimantan Selatan II,Kalimantan Selatan,"81,324"
Rohani ,Partai Kebangkitan Bangsa,Maluku,Maluku,"93,800"
Peggi Patrisia Pattipi ,Partai Kebangkitan Bangsa,Papua,Papua,"106,371"
Anwar Idris ,Partai Persatuan Pembangunan,Aceh II,Aceh,"52,459"
Hasrul Azwar ,Partai Persatuan Pembangunan,Sumatera Utara I,Sumatera Utara,"43,908"
Fadli Nurzal ,Partai Persatuan Pembangunan,Sumatera Utara III,Sumatera Utara,"59,584"
Epyardi Asda ,Partai Persatuan Pembangunan,Sumatera Barat I,Sumatera Barat,"60,282"
Muhammad Iqbal ,Partai Persatuan Pembangunan,Sumatera Barat II,Sumatera Barat,"21,348"
Elviana,Partai Persatuan Pembangunan,Jambi,Jambi,"42,535"
Achmad Fauzan ,Partai Persatuan Pembangunan,Jakarta I,DKI Jakarta,"50,323"
Okky Asokawati ,Partai Persatuan Pembangunan,Jakarta II,DKI Jakarta,"35,727"
Achmad Dimyati Natakusumah ,Partai Persatuan Pembangunan,Jakarta III,DKI Jakarta,"68,353"
Joko Purwanto ,Partai Persatuan Pembangunan,Jawa Barat III,Jawa Barat,"26,651"
Reni Marlinawati ,Partai Persatuan Pembangunan,Jawa Barat IV,Jawa Barat,"38,777"
Achmad Farial ,Partai Persatuan Pembangunan,Jawa Barat V,Jawa Barat,"50,686"
Wardatul Asriah ,Partai Persatuan Pembangunan,Jawa Barat VII,Jawa Barat,"77,175"
Dony Ahmad Munir ,Partai Persatuan Pembangunan,Jawa Barat IX,Jawa Barat,"38,038"
Asep A Maoshul Affandy ,Partai Persatuan Pembangunan,Jawa Barat X,Jawa Barat,"41,320"
Nurhayati,Partai Persatuan Pembangunan,Jawa Barat XI,Jawa Barat,"82,467"
Mukhlisin,Partai Persatuan Pembangunan,Jawa Tengah II,Jawa Tengah,"71,515"
Moh Arwani Thomafi ,Partai Persatuan Pembangunan,Jawa Tengah III,Jawa Tengah,"67,484"
Lukman Hakim Saifuddin,Partai Persatuan Pembangunan,Jawa Tengah VI,Jawa Tengah,"38,620"
Mochammad Romahurmuziy,Partai Persatuan Pembangunan,Jawa Tengah VII,Jawa Tengah,"64,716"
Achmad Mustaqim ,Partai Persatuan Pembangunan,Jawa Tengah VIII,Jawa Tengah,"14,620"
Zainut Tauhid Sa'adi ,Partai Persatuan Pembangunan,Jawa Tengah IX,Jawa Tengah,"28,433"
Arsul Sani ,Partai Persatuan Pembangunan,Jawa Tengah X,Jawa Tengah,"36,163"
Mustofa Assegaf ,Partai Persatuan Pembangunan,Jawa Timur II,Jawa Timur,"57,303"
Sy Anas Tahir ,Partai Persatuan Pembangunan,Jawa Timur III,Jawa Timur,"32,166"
Iskandar D Syaichu ,Partai Persatuan Pembangunan,Jawa Timur X,Jawa Timur,"59,376"
Fanny Syafriansyah ,Partai Persatuan Pembangunan,Jawa Timur XI,Jawa Timur,"189,186"
Irna Narolita ,Partai Persatuan Pembangunan,Banten I,Banten,"88,969"
Kartika Yudhisti ,Partai Persatuan Pembangunan,Banten II,Banten,"49,377"
Irgan Chairul Mahfiz ,Partai Persatuan Pembangunan,Banten III,Banten,"59,048"
Ermalena,Partai Persatuan Pembangunan,NTB,NTB,"49,314"
Usman Ja'far ,Partai Persatuan Pembangunan,Kalimantan Barat,Kalimantan Barat,"81,113"
Syaifullah Tamliha ,Partai Persatuan Pembangunan,Kalimantan Selatan I,Kalimantan Selatan,"58,348"
Aditya Mufti Ariffin ,Partai Persatuan Pembangunan,Kalimantan Selatan II,Kalimantan Selatan,"65,267"
Kasriyah,Partai Persatuan Pembangunan,Kalimantan Timur,Kalimantan Timur,"49,839"
Amir Uskara,Partai Persatuan Pembangunan,Sulawesi Selatan I,Sulawesi Selatan,"67,925"
Andi Muhammad Galib ,Partai Persatuan Pembangunan,Sulawesi Selatan II,Sulawesi Selatan,"32,915"
Fatmwati Rusdi ,Partai Persatuan Pembangunan,Sulawesi Selatan III,Sulawesi Selatan,"93,856"
Amirul Tamim ,Partai Persatuan Pembangunan,Sulawesi Tenggara,Sulawesi Tenggara,"48,477"
Bahtiar Ali ,Partai Nasdem,Aceh I,Aceh,"38,820"
Zulfan Lindan ,Partai Nasdem,Aceh II,Aceh,"23,748"
Prananda Surya paloh ,Partai Nasdem,Sumatera Utara I,Sumatera Utara,"46,233"
Sahat Silaban ,Partai Nasdem,Sumatera Utara II,Sumatera Utara,"67,555"
Ali Umri ,Partai Nasdem,Sumatera Utara III,Sumatera Utara,"39,948"
Endre Saifoel ,Partai Nasdem,Sumatera Barat I,Sumatera Barat,"38,249"
Irma Suryani,Partai Nasdem,Sumatera Selatan II,Sumatera Selatan,"68,128"
Patrice Rio Capella ,Partai Nasdem,Bengkulu,Bengkulu,"86,405"
Tamanuri,Partai Nasdem,Lampung II,Lampung,"76,081"
Nyat Kadir,Partai Nasdem,Kepulauan Riau,Kepulauan Riau,"55,384"
Ahmad Sahroni ,Partai Nasdem,Jakarta III,DKI Jakarta,"60,683"
Supiadin Aries saputra ,Partai Nasdem,Jawa Barat XI,Jawa Barat,"14,099"
Fadoli ,Partai Nasdem,Jawa Tengah I,Jawa Tengah,"41,185"
H.M Prasetyo ,Partai Nasdem,Jawa Tengah II,Jawa Tengah,"51,999"
Donny Imam Priambodo ,Partai Nasdem,Jawa Tengah III,Jawa Tengah,"42,491"
Choirul Muna ,Partai Nasdem,Jawa Tengah VI,Jawa Tengah,"66,131"
Amelia Anggraini ,Partai Nasdem,Jawa Tengah VII,Jawa Tengah,"48,039"
Hasan Aminuddin ,Partai Nasdem,Jawa Timur II,Jawa Timur,"190,226"
T. Taufiqulhadi ,Partai Nasdem,Jawa Timur IV,Jawa Timur,"22,075"
Kresna Dewanata Phrosakh ,Partai Nasdem,Jawa Timur V,Jawa Timur,"52,413"
Mohammad Mahardika Suprapto,Partai Nasdem,Jawa Timur VI,Jawa Timur,"14,376"
Yayuk Sri Rahayuningsih ,Partai Nasdem,Jawa Timur VII,Jawa Timur,"34,291"
Soehartono,Partai Nasdem,Jawa Timur VIII,Jawa Timur,"43,700"
Slamet Junaedi ,Partai Nasdem,Jawa Timur IX,Jawa Timur,"167,733"
Tri Murny ,Partai Nasdem,Banten I,Banten,"36,571"
Kurtubi,Partai Nasdem,NTB,NTB,"37,889"
Jhony G Plate ,Partai Nasdem,NTT I,NTT,"33,704"
Viktor Bungtilu Laiskodat ,Partai Nasdem,NTT II,NTT,"77,555"
Syarief Abdullah ALK ,Partai Nasdem,Kalimantan Barat,Kalimantan Barat,"73,774"
Hamdhani ,Partai Nasdem,Kalimantan Tengah,Kalimantan Tengah,"29,633"
Achmad Amins ,Partai Nasdem,Kalimantan Timur,Kalimantan Timur,"35,142"
Ahmad HI M Ali ,Partai Nasdem,Sulawesi Tengah,Sulawesi Tengah,"109,021"
Akbar Faizal ,Partai Nasdem,Sulawesi Selatan II,Sulawesi Selatan,"47,940"
M luthfi A Mutty ,Partai Nasdem,Sulawesi Selatan III,Sulawesi Selatan,"39,828"
Sulaiman L Hamzah ,Partai Nasdem,Papua,Papua,"80,623"
Nurdin Tampubolon ,Partai Hanura,Sumatera Utara I,Sumatera Utara,"49,859"
Rufinus Hotmaulana Hutauruk ,Partai Hanura,Sumatera Utara II,Sumatera Utara,"52,666"
Samsudin Siregar ,Partai Hanura,Sumatera Utara III,Sumatera Utara,"42,850"
Fauzih H. Amro ,Partai Hanura,Sumatera Selatan I,Sumatera Selatan,"26,438"
Frans Agung Mula Putra ,Partai Hanura,Lampung I,Lampung,"81,058"
Moh. Arief S Suditomo ,Partai Hanura,Jawa Barat I,Jawa Barat,"24,649"
Dadang Rusdiana ,Partai Hanura,Jawa Barat II,Jawa Barat,"29,778"
Djoni Rolindrawan ,Partai Hanura,Jawa Barat III,Jawa Barat,"18,754"
Miryam S Haryani ,Partai Hanura,Jawa Barat VIII,Jawa Barat,"34,030"
Dossy Iskandar Prasetyo ,Partai Hanura,Jawa Timur VIII,Jawa Timur,"43,090"
M Farid Alfauzi ,Partai Hanura,Jawa Timur XI,Jawa Timur,"115,963"
Inas Nasrullah Zubir ,Partai Hanura,Banten III,Banten,"27,097"
Lalu Gede Syamsul Mujahidin ,Partai Hanura,NTB,NTB,"71,211"
Saleh Husin ,Partai Hanura,NTT II,NTT,"51,780"
Sarifuddin Sudding ,Partai Hanura,Sulawesi Tengah,Sulawesi Tengah,"42,660"
Dewie Yasin Limpo ,Partai Hanura,Sulawesi Selatan I,Sulawesi Selatan,"39,514"
Muhammad Nasir Djamil,Partai Keadilan Sejahtera,Aceh I,Aceh,"62,400"
Tifatul Sembiring,Partai Keadilan Sejahtera,Sumatera Utara I,Sumatera Utara,"74,510"
Iskan Qolba Lubis,Partai Keadilan Sejahtera,Sumatera Utara II,Sumatera Utara,"40,763"
Ansory Siregar,Partai Keadilan Sejahtera,Sumatera Utara III,Sumatera Utara,"33,291"
Refrizal ,Partai Keadilan Sejahtera,Sumatera Barat II,Sumatera Barat,"25,568"
Hermanto,Partai Keadilan Sejahtera,Sumatera Barat I,Sumatera Barat,"25,756"
Chairul Anwar,Partai Keadilan Sejahtera,Riau I,Riau,"51,700"
Mustafa Kamal,Partai Keadilan Sejahtera,Sumatera Selatan I,Sumatera Selatan,"35,857"
Mohammad Iqbal Romzi,Partai Keadilan Sejahtera,Sumatera Selatan II,Sumatera Selatan,"38,652"
Almuzammil Yusuf,Partai Keadilan Sejahtera,Lampung I,Lampung,"43,974"
Abdul Hakim,Partai Keadilan Sejahtera,Lampung II,Lampung,"72,238"
Ahmad Zainuddin,Partai Keadilan Sejahtera,Jakarta I,DKI Jakarta,"50,474"
Hidayat Nur Wahid,Partai Keadilan Sejahtera,Jakarta II,DKI Jakarta,"119,267"
Adang Daradjatun,Partai Keadilan Sejahtera,Jakarta III,DKI Jakarta,"27,164"
Ledia Hanifa Amaliah,Partai Keadilan Sejahtera,Jawa Barat I,Jawa Barat,"30,179"
Ma'mur Hasanudin,Partai Keadilan Sejahtera,Jawa Barat II,Jawa Barat,"31,854"
Ecky Awal Mucharam,Partai Keadilan Sejahtera,Jawa Barat III,Jawa Barat,"52,823"
Yudi Widiana Adia,Partai Keadilan Sejahtera,Jawa Barat IV,Jawa Barat,"30,119"
TB Soemanjaja,Partai Keadilan Sejahtera,Jawa Barat V,Jawa Barat,"17,196"
Mahfudz Abdurrahman,Partai Keadilan Sejahtera,Jawa Barat VI,Jawa Barat,"61,832"
Sa'dudin,Partai Keadilan Sejahtera,Jawa Barat VII,Jawa Barat,"50,935"
Mahfudz Siddiq,Partai Keadilan Sejahtera,Jawa Barat VIII,Jawa Barat,"47,338"
Nur Hasan Zaidi,Partai Keadilan Sejahtera,Jawa Barat IX,Jawa Barat,"36,517"
Surahman Hidayat,Partai Keadilan Sejahtera,Jawa Barat X,Jawa Barat,"68,380"
Mohamad Sohibul Iman,Partai Keadilan Sejahtera,Jawa Barat XI,Jawa Barat,"42,553"
H.M Gamari,Partai Keadilan Sejahtera,Jawa Tengah III,Jawa Tengah,"20,785"
Hamid Noor Yasin,Partai Keadilan Sejahtera,Jawa Tengah IV,Jawa Tengah,"47,257"
H. Abdul Kharis Almasyahri,Partai Keadilan Sejahtera,Jawa Tengah V,Jawa Tengah,"34,320"
Abdul Fikri,Partai Keadilan Sejahtera,Jawa Tengah IX,Jawa Tengah,"34,173"
Sukamta,Partai Keadilan Sejahtera,DI Yogyakarta,DI Yogyakarta,"49,771"
Sigit Sosiantomo,Partai Keadilan Sejahtera,Jawa Timur I,Jawa Timur,"34,930"
Rofi' Munawar,Partai Keadilan Sejahtera,Jawa Timur VII,Jawa Timur,"46,669"
Zulkiefliemansyah,Partai Keadilan Sejahtera,Banten II,Banten,"38,966"
Jazuli Juwaini,Partai Keadilan Sejahtera,Banten III,Banten,"81,291"
Fahri Hamzah,Partai Keadilan Sejahtera,NTB,NTB,"125,083"
Habib Aboe Bakar Alhabsyi,Partai Keadilan Sejahtera,Kalimantan Selatan I,Kalimantan Selatan,"66,206"
Hadi Mulyadi,Partai Keadilan Sejahtera,Kalimantan Timur,Kalimantan Timur,"53,143"
Tamsil Linrung,Partai Keadilan Sejahtera,Sulawesi Selatan I,Sulawesi Selatan,"63,577"
Andi Akmal Pasluddin,Partai Keadilan Sejahtera,Sulawesi Selatan II,Sulawesi Selatan,"33,896"
Muhammad Yudi Kotouky,Partai Keadilan Sejahtera,Papua,Papua,"102,371"
