Name,PartyNm,Electorate,Provinces,Votes
Budiman Sudjatmiko,Partai Demokrasi Indonesia Perjuangan,Jawa Tengah VIII,Jawa Tengah,"68,861"
Muhammad Prakosa,Partai Demokrasi Indonesia Perjuangan,Jawa Tengah IX,Jawa Tengah,"75,657"
Damayanti Wisnu Putranti,Partai Demokrasi Indonesia Perjuangan,Jawa Tengah IX,Jawa Tengah,"75,657"
Hendrawan Supratikno,Partai Demokrasi Indonesia Perjuangan,Jawa Tengah I,Jawa Tengah,"68,380"
Mohammad Idham Samawi,Partai Demokrasi Indonesia Perjuangan,DI Yogyakarta,DI Yogyakarta,"120,796"
My Esti Wijayati,Partai Demokrasi Indonesia Perjuangan,DI Yogyakarta,DI Yogyakarta,"99,440"
Guruh Irianto Sukarno Putra,Partai Demokrasi Indonesia Perjuangan,Jawa Timur I,Jawa Timur,"84,753"
Indah Kurnia,Partai Demokrasi Indonesia Perjuangan,Jawa Timur I,Jawa Timur,"68,497"
Henky Kurniadi,Partai Demokrasi Indonesia Perjuangan,Jawa Timur I,Jawa Timur,"43,434"
Hamka Haq,Partai Demokrasi Indonesia Perjuangan,Jawa Timur II,Jawa Timur,"27,166"
Nursuhud,Partai Demokrasi Indonesia Perjuangan,Jawa Timur III,Jawa Timur,"58,123"
Arif Wibowo,Partai Demokrasi Indonesia Perjuangan,Jawa Timur IV,Jawa Timur,"43,074"
Ahmad Basarah,Partai Demokrasi Indonesia Perjuangan,Jawa Timur V,Jawa Timur,"68,009"
Andreas Eddy Susetyo,Partai Demokrasi Indonesia Perjuangan,Jawa Timur V,Jawa Timur,"56,160"
Pramono Anung Wibowo,Partai Demokrasi Indonesia Perjuangan,Jawa Timur VI,Jawa Timur,"165,906"
Djarot Saiful Hidajat,Partai Demokrasi Indonesia Perjuangan,Jawa Timur VI,Jawa Timur,"69,053"
Budi Yuwono,Partai Demokrasi Indonesia Perjuangan,Jawa Timur VI,Jawa Timur,"64,807"
Sirmadji,Partai Demokrasi Indonesia Perjuangan,Jawa Timur VII,Jawa Timur,"77,100"
Sadarestuwati,Partai Demokrasi Indonesia Perjuangan,Jawa Timur VIII,Jawa Timur,"73,354"
Mindo Sianipar,Partai Demokrasi Indonesia Perjuangan,Jawa Timur VIII,Jawa Timur,"73,341"
Abidin Fikri,Partai Demokrasi Indonesia Perjuangan,Jawa Timur IX,Jawa Timur,"36,304"
Nasyirul Falah Amru,Partai Demokrasi Indonesia Perjuangan,Jawa Timur X,Jawa Timur,"64,161"
Said Abdullah,Partai Demokrasi Indonesia Perjuangan,Jawa Timur II,Jawa Timur,"112,539"
Mochamad Hasbi Asyidiki Jayabaya,Partai Demokrasi Indonesia Perjuangan,Banten I,Banten,"51,059"
Ichsan Soelistio,Partai Demokrasi Indonesia Perjuangan,Banten II,Banten,"17,994"
Herdian Koosnadi,Partai Demokrasi Indonesia Perjuangan,Banten III,Banten,"47,426"
Marinus Gea,Partai Demokrasi Indonesia Perjuangan,Banten III,Banten,"42,285"
Wayan Koster,Partai Demokrasi Indonesia Perjuangan,Bali,Bali,"260,342"
I Made Urip,Partai Demokrasi Indonesia Perjuangan,Bali,Bali,"166,430"
I Gusti Agung Rai Wirajaya,Partai Demokrasi Indonesia Perjuangan,Bali,Bali,"75,252"
Nyoman Dhamantra,Partai Demokrasi Indonesia Perjuangan,Bali,Bali,"70,590"
Rachmat Hidayat,Partai Demokrasi Indonesia Perjuangan,NTB,NTB,"62,987"
Honing Sanny,Partai Demokrasi Indonesia Perjuangan,NTT I,NTT,"49,287"
Herman Hery,Partai Demokrasi Indonesia Perjuangan,NTT II,NTT,"109,406"
Karolin Margret Natasa,Partai Demokrasi Indonesia Perjuangan,Kalimantan Barat,Kalimantan Barat,"397,481"
Lasarus,Partai Demokrasi Indonesia Perjuangan,Kalimantan Barat,Kalimantan Barat,"173,154"
G Michael Jeno,Partai Demokrasi Indonesia Perjuangan,Kalimantan Barat,Kalimantan Barat,"55,121"
Willy M Yoseph,Partai Demokrasi Indonesia Perjuangan,Kalimantan Tengah,Kalimantan Tengah,"147,175"
Asdy Narang,Partai Demokrasi Indonesia Perjuangan,Kalimantan Tengah,Kalimantan Tengah,"64,560"
Adriansya,Partai Demokrasi Indonesia Perjuangan,Kalimantan Selatan II,Kalimantan Selatan,"48,611"
Marten Apuy,Partai Demokrasi Indonesia Perjuangan,Kalimantan Timur,Kalimantan Timur,"71,177"
Olly Dondokambey,Partai Demokrasi Indonesia Perjuangan,Sulawesi Utara,Sulawesi Utara,"237,620"
Vanda Sarundajang,Partai Demokrasi Indonesia Perjuangan,Sulawesi Utara,Sulawesi Utara,"126,197"
